অইংবা	অ_beg ইং_mid বা_end
অঙকপা	অ_beg ঙক_mid পা_end
অঙক্পগী	অ_beg ঙক্_mid প_mid গী_end
অঙক্পনা	অ_beg ঙক্_mid প_mid না_end
অঙক্পনি	অ_beg ঙক্_mid প_mid নি_end
অঙক্পা	অ_beg ঙক্_mid পা_end
অঙনফৌ	অ_beg ঙন_mid ফৌ_end
অঙনবদা	অ_beg ঙন_mid ব_mid দা_end
অঙন্বদা	অ_beg ঙন্_mid ব_mid দা_end
অঙম	অ_beg ঙম_end
অঙম্	অ_beg ঙম্_end
অঙম্বশিংগী	অ_beg ঙম্_mid ব_mid শিং_mid গী_end
অঙম্বা	অ_beg ঙম্_mid বা_end
অঙাওবগী	অ_beg ঙাও_mid ব_mid গী_end
অঙাওবদু	অ_beg ঙাও_mid ব_mid দু_end
অঙাওবা	অ_beg ঙাও_mid বা_end
অঙাওবীনি	অ_beg ঙাও_mid বী_mid নি_end
অঙাওবীরা	অ_beg ঙাও_mid বী_mid রা_end
অঙাং	অ_beg ঙাং_end
অঙাংগা	অ_beg ঙাং_mid গা_end
অঙাংগী	অ_beg ঙাং_mid গী_end
অঙাংদু	অ_beg ঙাং_mid দু_end
অঙাংদুগী	অ_beg ঙাং_mid দু_mid গী_end
অঙাংদুনা	অ_beg ঙাং_mid দু_mid না_end
অঙাংদো	অ_beg ঙাং_mid দো_end
অঙাংনা	অ_beg ঙাং_mid না_end
অঙাংনি	অ_beg ঙাং_mid নি_end
অঙাংনিনা	অ_beg ঙাং_mid নি_mid না_end
অঙাংনোনে	অ_beg ঙাং_mid নো_mid নে_end
অঙাংবু	অ_beg ঙাং_mid বু_end
অঙাংশা	অ_beg ঙাং_mid শা_end
অঙাংশিং	অ_beg ঙাং_mid শিং_end
অঙাংশিংগী	অ_beg ঙাং_mid শিং_mid গী_end
অঙাংশিংদা	অ_beg ঙাং_mid শিং_mid দা_end
অঙাংশিংদুনা	অ_beg ঙাং_mid শিং_mid দু_mid না_end
অঙাংশিংনদি	অ_beg ঙাং_mid শিং_mid ন_mid দি_end
অঙাংশিংনা	অ_beg ঙাং_mid শিং_mid না_end
অঙাংসি	অ_beg ঙাং_mid সি_end
অঙাঙ্বমুক	অ_beg ঙাঙ্_mid ব_mid মুক_end
অঙাঙ্বমুক্	অ_beg ঙাঙ্_mid ব_mid মুক্_end
অঙান্বা	অ_beg ঙান্_mid বা_end
অঙাম্বা	অ_beg ঙাম্_mid বা_end
অঙৌবা	অ_beg ঙৌ_mid বা_end
অঙৌবাদু	অ_beg ঙৌ_mid বা_mid দু_end
অঙ্গুর	অঙ্_beg গুর_end
অচম্বা	অ_beg চম্_mid বা_end
অচা	অ_beg চা_end
অচাক্পা	অ_beg চাক্_mid পা_end
অচান্বগা	অ_beg চান্_mid ব_mid গা_end
অচাপোত	অ_beg চা_mid পোত_end
অচাবা	অ_beg চা_mid বা_end
অচিনবা	অ_beg চিন_mid বা_end
অচুম	অ_beg চুম_end
অচুম্	অ_beg চুম্_end
অচুম্বনা	অ_beg চুম্_mid ব_mid না_end
অচুম্বনি	অ_beg চুম্_mid ব_mid নি_end
অচুম্বরনে	অ_beg চুম্_mid ব_mid র_mid নে_end
অচুম্বা	অ_beg চুম্_mid বা_end
অচূম্বা	অ_beg চূম্_mid বা_end
অচেত্পা	অ_beg চেত্_mid পা_end
অচোন	অ_beg চোন_end
অচোন্	অ_beg চোন্_end
অচোন্বা	অ_beg চোন্_mid বা_end
অচৌ	অ_beg চৌ_end
অচৌগী	অ_beg চৌ_mid গী_end
অচৌবদু	অ_beg চৌ_mid ব_mid দু_end
অচৌবদুনা	অ_beg চৌ_mid ব_mid দু_mid না_end
অচৌবসিনা	অ_beg চৌ_mid ব_mid সি_mid না_end
অচৌবা	অ_beg চৌ_mid বা_end
অচ্চা	অচ্_beg চা_end
অতত্পা	অ_beg তত্_mid পা_end
অতপ্পা	অ_beg তপ্_mid পা_end
অতা	অ_beg তা_end
অতাওবনচীংবা	অ_beg তাও_mid ব_mid ন_mid চীং_mid বা_end
অতিয়া	অ_beg তি_mid য়া_end
অতিয়াগী	অ_beg তি_mid য়া_mid গী_end
অতিয়াদা	অ_beg তি_mid য়া_mid দা_end
অতুম্বা	অ_beg তুম্_mid বা_end
অতেক	অ_beg তেক_end
অতেক্পকা	অ_beg তেক্_mid প_mid কা_end
অতেক্পা	অ_beg তেক্_mid পা_end
অতৈ	অ_beg তৈ_end
অতৈগা	অ_beg তৈ_mid গা_end
অতৈগী	অ_beg তৈ_mid গী_end
অতৈদি	অ_beg তৈ_mid দি_end
অতৈনা	অ_beg তৈ_mid না_end
অতোন্বগী	অ_beg তোন্_mid ব_mid গী_end
অতোন্বদুনা	অ_beg তোন্_mid ব_mid দু_mid না_end
অতোন্বনা	অ_beg তোন্_mid ব_mid না_end
অতোন্বনি	অ_beg তোন্_mid ব_mid নি_end
অতোন্ববুনা	অ_beg তোন্_mid ব_mid বু_mid না_end
অতোন্বা	অ_beg তোন্_mid বা_end
অতোন্বী	অ_beg তোন্_mid বী_end
অতোন্বীনা	অ_beg তোন্_mid বী_mid না_end
অতোপ	অ_beg তোপ_end
অতোপপা	অ_beg তোপ_mid পা_end
অতোপা	অ_beg তো_mid পা_end
অতোপ্	অ_beg তোপ্_end
অতোপ্পা	অ_beg তোপ্_mid পা_end
অতোম্বদুদি	অ_beg তোম্_mid ব_mid দু_mid দি_end
অতোম্বনা	অ_beg তোম্_mid ব_mid না_end
অতোম্বা	অ_beg তোম্_mid বা_end
অতোম্বিনি	অ_beg তোম্_mid বি_mid নি_end
অতোম্বী	অ_beg তোম্_mid বী_end
অতোম্বীগী	অ_beg তোম্_mid বী_mid গী_end
অতোম্বীদা	অ_beg তোম্_mid বী_mid দা_end
অতোম্বীদুদা	অ_beg তোম্_mid বী_mid দু_mid দা_end
অতোম্বীনা	অ_beg তোম্_mid বী_mid না_end
অতোম্বীবু	অ_beg তোম্_mid বী_mid বু_end
অতোম্বীসিবু	অ_beg তোম্_mid বী_mid সি_mid বু_end
অথক	অ_beg থক_end
অথক্	অ_beg থক্_end
অথক্লা	অ_beg থক্_mid লা_end
অথন্বা	অ_beg থন্_mid বা_end
অথিংবা	অ_beg থিং_mid বা_end
অথুবদা	অ_beg থু_mid ব_mid দা_end
অথুবা	অ_beg থু_mid বা_end
অথুম্	অ_beg থুম্_end
অথুম্নগা	অ_beg থুম্_mid ন_mid গা_end
অথূপ্পা	অ_beg থূপ্_mid পা_end
অথেংবদা	অ_beg থেং_mid ব_mid দা_end
অথেংবা	অ_beg থেং_mid বা_end
অথেঙ্বদা	অ_beg থেঙ্_mid ব_mid দা_end
অথেঙ্বা	অ_beg থেঙ্_mid বা_end
অথোই	অ_beg থোই_end
অথোইবনা	অ_beg থোই_mid ব_mid না_end
অথোইবনি	অ_beg থোই_mid ব_mid নি_end
অথোংবা	অ_beg থোং_mid বা_end
অথোরিতিগী	অ_beg থো_mid রি_mid তি_mid গী_end
অথৌ	অ_beg থৌ_end
অথৌবা	অ_beg থৌ_mid বা_end
অথৌশিং	অ_beg থৌ_mid শিং_end
অথৌশিংনা	অ_beg থৌ_mid শিং_mid না_end
অদক্ষা	অ_beg দক্_mid ষা_end
অদগী	অ_beg দ_mid গী_end
অদৱাইগী	অ_beg দ_mid ৱাই_mid গী_end
অদা	অ_beg দা_end
অদি	অ_beg দি_end
অদিল	অ_beg দিল_end
অদু	অ_beg দু_end
অদুই	অ_beg দুই_end
অদুক	অ_beg দুক_end
অদুক্	অ_beg দুক্_end
অদুগনা	অ_beg দু_mid গ_mid না_end
অদুগা	অ_beg দু_mid গা_end
অদুগি	অ_beg দু_mid গি_end
অদুগী	অ_beg দু_mid গী_end
অদুগীদমক্তবু	অ_beg দু_mid গী_mid দ_mid মক্_mid ত_mid বু_end
অদুগীদমক্তা	অ_beg দু_mid গী_mid দ_mid মক্_mid তা_end
অদুগীসু	অ_beg দু_mid গী_mid সু_end
অদুগুম্বা	অ_beg দু_mid গুম্_mid বা_end
অদুঙৈ	অ_beg দু_mid ঙৈ_end
অদুতংদি	অ_beg দু_mid তং_mid দি_end
অদুতদি	অ_beg দু_mid ত_mid দি_end
অদুতনি	অ_beg দু_mid ত_mid নি_end
অদুদগি	অ_beg দু_mid দ_mid গি_end
অদুদগী	অ_beg দু_mid দ_mid গী_end
অদুদগীদি	অ_beg দু_mid দ_mid গী_mid দি_end
অদুদদি	অ_beg দু_mid দ_mid দি_end
অদুদা	অ_beg দু_mid দা_end
অদুদি	অ_beg দু_mid দি_end
অদুদৈ	অ_beg দু_mid দৈ_end
অদুদৈদি	অ_beg দু_mid দৈ_mid দি_end
অদুনদি	অ_beg দু_mid ন_mid দি_end
অদুননি	অ_beg দু_mid ন_mid নি_end
অদুনা	অ_beg দু_mid না_end
অদুনি	অ_beg দু_mid নি_end
অদুবু	অ_beg দু_mid বু_end
অদুবুদি	অ_beg দু_mid বু_mid দি_end
অদুবুনা	অ_beg দু_mid বু_mid না_end
অদুবূ	অ_beg দু_mid বূ_end
অদুম	অ_beg দুম_end
অদুমওইনমক	অ_beg দুম_mid ওই_mid ন_mid মক_end
অদুমক	অ_beg দু_mid মক_end
অদুমক্	অ_beg দু_mid মক্_end
অদুমক্কী	অ_beg দু_mid মক্_mid কী_end
অদুমক্তদসু	অ_beg দু_mid মক্_mid ত_mid দ_mid সু_end
অদুমক্তদা	অ_beg দু_mid মক্_mid ত_mid দা_end
অদুমক্তনা	অ_beg দু_mid মক্_mid ত_mid না_end
অদুমক্পু	অ_beg দু_mid মক্_mid পু_end
অদুমা	অ_beg দু_mid মা_end
অদুম্	অ_beg দুম্_end
অদুম্নদি	অ_beg দুম্_mid ন_mid দি_end
অদুম্না	অ_beg দুম্_mid না_end
অদুম্মক	অ_beg দুম্_mid মক_end
অদুম্মক্	অ_beg দুম্_mid মক্_end
অদুম্লৈথোক্খিবদুনা	অ_beg দুম্_mid লৈ_mid থোক্_mid খি_mid ব_mid দু_mid না_end
অদুৱাইগী	অ_beg দু_mid ৱাই_mid গী_end
অদুৱাইদকা	অ_beg দু_mid ৱাই_mid দ_mid কা_end
অদুৱাইদদি	অ_beg দু_mid ৱাই_mid দ_mid দি_end
অদুৱাইদা	অ_beg দু_mid ৱাই_mid দা_end
অদুৱায়্দা	অ_beg দু_mid ৱায়্_mid দা_end
অদুসু	অ_beg দু_mid সু_end
অদূ	অ_beg দূ_end
অদূগা	অ_beg দূ_mid গা_end
অদূগী	অ_beg দূ_mid গী_end
অদূদা	অ_beg দূ_mid দা_end
অদূম্মক	অ_beg দূম্_mid মক_end
অদো	অ_beg দো_end
অদোম্গী	অ_beg দোম্_mid গী_end
অদোম্দা	অ_beg দোম্_mid দা_end
অদোম্না	অ_beg দোম্_mid না_end
অদ্দা	অদ্_beg দা_end
অদ্দুবু	অদ্_beg দু_mid বু_end
অনং	অ_beg নং_end
অনকপদা	অ_beg নক_mid প_mid দা_end
অনক্পদা	অ_beg নক্_mid প_mid দা_end
অনা	অ_beg না_end
অনাবসি	অ_beg না_mid ব_mid সি_end
অনাবা	অ_beg না_mid বা_end
অনাবীদূ	অ_beg না_mid বী_mid দূ_end
অনাবীনা	অ_beg না_mid বী_mid না_end
অনি	অ_beg নি_end
অনিখক	অ_beg নি_mid খক_end
অনিখক্	অ_beg নি_mid খক্_end
অনিগী	অ_beg নি_mid গী_end
অনিদু	অ_beg নি_mid দু_end
অনিদুগা	অ_beg নি_mid দু_mid গা_end
অনিদুগী	অ_beg নি_mid দু_mid গী_end
অনিনা	অ_beg নি_mid না_end
অনিনে	অ_beg নি_mid নে_end
অনিবু	অ_beg নি_mid বু_end
অনিমক্কী	অ_beg নি_mid মক্_mid কী_end
অনিশুবা	অ_beg নি_mid শু_mid বা_end
অনিসিবু	অ_beg নি_mid সি_mid বু_end
অনিসুন্তীগী	অ_beg নি_mid সুন্_mid তী_mid গী_end
অনিসুবা	অ_beg নি_mid সু_mid বা_end
অনী	অ_beg নী_end
অনীংবা	অ_beg নীং_mid বা_end
অনীখক	অ_beg নী_mid খক_end
অনীখক্	অ_beg নী_mid খক্_end
অনীগা	অ_beg নী_mid গা_end
অনীগী	অ_beg নী_mid গী_end
অনীদং	অ_beg নী_mid দং_end
অনীদগী	অ_beg নী_mid দ_mid গী_end
অনীদা	অ_beg নী_mid দা_end
অনীদি	অ_beg নী_mid দি_end
অনীদু	অ_beg নী_mid দু_end
অনীদুগী	অ_beg নী_mid দু_mid গী_end
অনীদুদা	অ_beg নী_mid দু_mid দা_end
অনীদুদি	অ_beg নী_mid দু_mid দি_end
অনীদুনা	অ_beg নী_mid দু_mid না_end
অনীদুবু	অ_beg নী_mid দু_mid বু_end
অনীদুসু	অ_beg নী_mid দু_mid সু_end
অনীদো	অ_beg নী_mid দো_end
অনীনা	অ_beg নী_mid না_end
অনীনাপুগী	অ_beg নী_mid না_mid পু_mid গী_end
অনীবু	অ_beg নী_mid বু_end
অনীবো	অ_beg নী_mid বো_end
অনীমক	অ_beg নী_mid মক_end
অনীমককী	অ_beg নী_mid মক_mid কী_end
অনীমক্	অ_beg নী_mid মক্_end
অনীমক্কী	অ_beg নী_mid মক্_mid কী_end
অনীমক্তগী	অ_beg নী_mid মক্_mid ত_mid গী_end
অনীমক্তা	অ_beg নী_mid মক্_mid তা_end
অনীমক্না	অ_beg নী_mid মক্_mid না_end
অনীমক্লা	অ_beg নী_mid মক্_mid লা_end
অনীরক	অ_beg নী_mid রক_end
অনীরক্	অ_beg নী_mid রক্_end
অনীরক্তং	অ_beg নী_mid রক্_mid তং_end
অনীশুবা	অ_beg নী_mid শু_mid বা_end
অনীসি	অ_beg নী_mid সি_end
অনীসিগী	অ_beg নী_mid সি_mid গী_end
অনীসু	অ_beg নী_mid সু_end
অনৌ	অ_beg নৌ_end
অনৌবশিং	অ_beg নৌ_mid ব_mid শিং_end
অনৌবা	অ_beg নৌ_mid বা_end
অন্দর	অন্_beg দর_end
অন্দর্স্তেনদিং	অন্_beg দর্স্_mid তেন_mid দিং_end
অন্দ্রো	অন্_beg দ্রো_end
অন্ধ্র	অন্_beg ধ্র_end
অপখ্রেত	অপ_beg খ্রেত_end
অপঙ	অ_beg পঙ_end
অপঙ্	অ_beg পঙ্_end
অপঙ্গী	অ_beg পঙ্_mid গী_end
অপঙ্দা	অ_beg পঙ্_mid দা_end
অপঙ্দি	অ_beg পঙ্_mid দি_end
অপঙ্দু	অ_beg পঙ্_mid দু_end
অপঙ্দুদি	অ_beg পঙ্_mid দু_mid দি_end
অপঙ্দুবু	অ_beg পঙ্_mid দু_mid বু_end
অপঙ্দুসু	অ_beg পঙ্_mid দু_mid সু_end
অপঙ্দো	অ_beg পঙ্_mid দো_end
অপঙ্না	অ_beg পঙ্_mid না_end
অপঙ্নিদনা	অ_beg পঙ্_mid নি_mid দ_mid না_end
অপঙ্বদি	অ_beg পঙ্_mid ব_mid দি_end
অপঙ্বনা	অ_beg পঙ্_mid ব_mid না_end
অপঙ্বা	অ_beg পঙ্_mid বা_end
অপঙ্বী	অ_beg পঙ্_mid বী_end
অপঙ্সু	অ_beg পঙ্_mid সু_end
অপন	অ_beg পন_end
অপনবা	অ_beg পন_mid বা_end
অপন্	অ_beg পন্_end
অপন্দি	অ_beg পন্_mid দি_end
অপা	অ_beg পা_end
অপাইবি	অ_beg পাই_mid বি_end
অপাইবী	অ_beg পাই_mid বী_end
অপাইবীদুগা	অ_beg পাই_mid বী_mid দু_mid গা_end
অপাইবীদুনা	অ_beg পাই_mid বী_mid দু_mid না_end
অপাইবীদো	অ_beg পাই_mid বী_mid দো_end
অপাইবীসি	অ_beg পাই_mid বী_mid সি_end
অপাক্পা	অ_beg পাক্_mid পা_end
অপাবা	অ_beg পা_mid বা_end
অপাম	অ_beg পাম_end
অপাম্	অ_beg পাম্_end
অপাম্বা	অ_beg পাম্_mid বা_end
অপায়্	অ_beg পায়্_end
অপায়্বা	অ_beg পায়্_mid বা_end
অপায়্বীদু	অ_beg পায়্_mid বী_mid দু_end
অপাশিংদা	অ_beg পা_mid শিং_mid দা_end
অপীক	অ_beg পীক_end
অপীক্	অ_beg পীক্_end
অপীক্পগী	অ_beg পীক্_mid প_mid গী_end
অপীক্পা	অ_beg পীক্_mid পা_end
অপুনবগী	অ_beg পুন_mid ব_mid গী_end
অপুনবা	অ_beg পুন_mid বা_end
অপুম	অ_beg পুম_end
অপুম্	অ_beg পুম্_end
অপুম্বা	অ_beg পুম্_mid বা_end
অপূনবা	অ_beg পূন_mid বা_end
অপূম্বনা	অ_beg পূম্_mid ব_mid না_end
অপূম্বা	অ_beg পূম্_mid বা_end
অপেন	অ_beg পেন_end
অপেন্	অ_beg পেন্_end
অপেন্বা	অ_beg পেন্_mid বা_end
অপোকপগী	অ_beg পোক_mid প_mid গী_end
অপোকপা	অ_beg পোক_mid পা_end
অপোক্পী	অ_beg পোক্_mid পী_end
অপোম্বদু	অ_beg পোম্_mid ব_mid দু_end
অফং	অ_beg ফং_end
অফংবা	অ_beg ফং_mid বা_end
অফগনিস্তান্দা	অফ_beg গ_mid নিস্_mid তান্_mid দা_end
অফগানিন্তানদা	অফ_beg গা_mid নিন্_mid তান_mid দা_end
অফগানিসতান্গী	অফ_beg গা_mid নিস_mid তান্_mid গী_end
অফগানিস্তান	অ_beg ফ_mid গা_mid নিস্_mid তান_end
অফগানিস্তান	অফ_beg গা_mid নিস্_mid তান_end
অফগানিস্তানদা	অফ_beg গা_mid নিস্_mid তান_mid দা_end
অফগানিস্তান্দগী	অফ_beg গা_mid নিস্_mid তান্_mid দ_mid গী_end
অফবা	অ_beg ফ_mid বা_end
অফাই	অ_beg ফাই_end
অফাওবগী	অ_beg ফাও_mid ব_mid গী_end
অফাওবা	অ_beg ফাও_mid বা_end
অফায়	অ_beg ফায়_end
অফায়্	অ_beg ফায়্_end
অফিং	অ_beg ফিং_end
অবা	অ_beg বা_end
অবুংঙো	অ_beg বুং_mid ঙো_end
অবোইরে	অ_beg বোই_mid রে_end
অবোক	অ_beg বোক_end
অবোক্	অ_beg বোক্_end
অবোক্কী	অ_beg বোক্_mid কী_end
অমখক	অ_beg ম_mid খক_end
অমখক্	অ_beg ম_mid খক্_end
অমখক্তং	অ_beg ম_mid খক্_mid তং_end
অমখক্তা	অ_beg ম_mid খক্_mid তা_end
অমখক্সু	অ_beg ম_mid খক্_mid সু_end
অমগনা	অ_beg ম_mid গ_mid না_end
অমগা	অ_beg ম_mid গা_end
অমগী	অ_beg ম_mid গী_end
অমগীদমক	অ_beg ম_mid গী_mid দ_mid মক_end
অমগীদা	অ_beg ম_mid গী_mid দা_end
অমগুম্না	অ_beg ম_mid গুম্_mid না_end
অমতং	অ_beg ম_mid তং_end
অমতংগদু	অ_beg ম_mid তং_mid গ_mid দু_end
অমতংগাদুক্	অ_beg ম_mid তং_mid গা_mid দুক্_end
অমতংদি	অ_beg ম_mid তং_mid দি_end
অমতনা	অ_beg ম_mid ত_mid না_end
অমতা	অ_beg ম_mid তা_end
অমত্তং	অ_beg মত্_mid তং_end
অমত্তংবু	অ_beg মত্_mid তং_mid বু_end
অমত্তগা	অ_beg মত্_mid ত_mid গা_end
অমত্তগী	অ_beg মত্_mid ত_mid গী_end
অমত্তদা	অ_beg মত্_mid ত_mid দা_end
অমত্তদি	অ_beg মত্_mid ত_mid দি_end
অমত্তনসু	অ_beg মত্_mid ত_mid ন_mid সু_end
অমত্তনা	অ_beg মত্_mid ত_mid না_end
অমত্তসু	অ_beg মত্_mid ত_mid সু_end
অমত্তা	অ_beg মত্_mid তা_end
অমদগী	অ_beg ম_mid দ_mid গী_end
অমদনা	অ_beg ম_mid দ_mid না_end
অমদনি	অ_beg ম_mid দ_mid নি_end
অমদা	অ_beg ম_mid দা_end
অমদি	অ_beg ম_mid দি_end
অমদী	অ_beg ম_mid দী_end
অমননি	অ_beg ম_mid ন_mid নি_end
অমনা	অ_beg ম_mid না_end
অমনি	অ_beg ম_mid নি_end
অমনিনা	অ_beg ম_mid নি_mid না_end
অমফাওবা	অ_beg ম_mid ফাও_mid বা_end
অমফাওবা	অ_mid ম_beg  ফাও_mid বা_end
অমবা	অম_beg বা_end
অমবাগী	অম_beg বা_mid গী_end
অমবু	অ_beg ম_mid বু_end
অমবুদি	অ_beg ম_mid বু_mid দি_end
অমমম	অ_beg ম_mid মম_end
অমমমতা	অ_beg ম_mid মম_mid তা_end
অমমম্	অ_beg ম_mid মম্_end
অমমম্তদি	অ_beg ম_mid মম্_mid ত_mid দি_end
অমমম্তা	অ_beg ম_mid মম্_mid তা_end
অমমম্দং	অ_beg ম_mid মম্_mid দং_end
অমমম্দদি	অ_beg ম_mid মম্_mid দ_mid দি_end
অমমম্দা	অ_beg ম_mid মম্_mid দা_end
অমমুং	অ_beg ম_mid মুং_end
অমমুক	অ_beg ম_mid মুক_end
অমমুক্	অ_beg ম_mid মুক্_end
অমম্বদা	অ_beg মম্_mid ব_mid দা_end
অমম্বনা	অ_beg মম্_mid ব_mid না_end
অমম্বা	অ_beg মম্_mid বা_end
অমর	অ_beg মর_end
অমরোমদা	অ_beg ম_mid রোম_mid দা_end
অমরোম্দা	অ_beg ম_mid রোম্_mid দা_end
অমর্জিত	অ_beg মর্_mid জিত_end
অমসু	অ_beg ম_mid সু_end
অমসুং	অ_beg ম_mid সুং_end
অমা	অ_beg মা_end
অমাংবদু	অ_beg মাং_mid ব_mid দু_end
অমাংবসিদি	অ_beg মাং_mid ব_mid সি_mid দি_end
অমাংবা	অ_beg মাং_mid বা_end
অমাগা	অ_beg মা_mid গা_end
অমাগী	অ_beg মা_mid গী_end
অমাঙ	অ_beg মাঙ_end
অমাঙ্	অ_beg মাঙ্_end
অমাতরেত	অ_beg মা_mid ত_mid রেত_end
অমাদা	অ_beg মা_mid দা_end
অমিল	অ_beg মিল_end
অমুক	অ_beg মুক_end
অমুক্	অ_beg মুক্_end
অমুক্কসু	অ_beg মুক্_mid ক_mid সু_end
অমুক্কা	অ_beg মুক্_mid কা_end
অমুক্তং	অ_beg মুক্_mid তং_end
অমুক্তংগা	অ_beg মুক্_mid তং_mid গা_end
অমুক্তংবু	অ_beg মুক্_mid তং_mid বু_end
অমুক্তগা	অ_beg মুক্_mid ত_mid গা_end
অমুক্তঙ	অ_beg মুক্_mid তঙ_end
অমুক্তঙ্	অ_beg মুক্_mid তঙ্_end
অমুক্তদি	অ_beg মুক্_mid ত_mid দি_end
অমুক্তশু	অ_beg মুক্_mid ত_mid শু_end
অমুক্তা	অ_beg মুক্_mid তা_end
অমুক্তি	অ_beg মুক্_mid তি_end
অমুক্তোইবা	অ_beg মুক্_mid তোই_mid বা_end
অমুক্য়াওহল্লনু	অ_beg মুক্_mid য়াও_mid হল্_mid ল_mid নু_end
অমুক্লাক্কনুকো	অ_beg মুক্_mid লাক্_mid ক_mid নু_mid কো_end
অমুক্সু	অ_beg মুক্_mid সু_end
অমুক্হন্না	অ_beg মুক্_mid হন্_mid না_end
অমুক্হেন্	অ_beg মুক্_mid হেন্_end
অমুন	অ_beg মুন_end
অমুন্	অ_beg মুন্_end
অমুন্বা	অ_beg মুন্_mid বা_end
অমুবা	অ_beg মু_mid বা_end
অমূক	অ_beg মূক_end
অমোম	অ_beg মোম_end
অমোম্	অ_beg মোম্_end
অমোম্দু	অ_beg মোম্_mid দু_end
অমোম্না	অ_beg মোম্_mid না_end
অমোম্সি	অ_beg মোম্_mid সি_end
অমৌ	অ_beg মৌ_end
অমৌগী	অ_beg মৌ_mid গী_end
অম্রিত	অ_beg ম্রিত_end
অয়াইবতা	অ_beg য়াই_mid ব_mid তা_end
অয়াংপল্লি	অ_beg য়াং_mid পল্_mid লি_end
অয়াঙ্পলি	অ_beg য়াঙ্_mid প_mid লি_end
অয়ান্বা	অ_beg য়ান্_mid বা_end
অয়াবা	অ_beg য়া_mid বা_end
অয়াম্বনা	অ_beg য়াম্_mid ব_mid না_end
অয়াম্বা	অ_beg য়াম্_mid বা_end
অয়ুংক্কী	অ_beg য়ুংক্_mid কী_end
অয়ুক	অ_beg য়ুক_end
অয়ুক্	অ_beg য়ুক্_end
অয়ুক্কি	অ_beg য়ুক্_mid কি_end
অয়ুক্কী	অ_beg য়ুক্_mid কী_end
অয়ুক্তগী	অ_beg য়ুক্_mid ত_mid গী_end
অয়ুক্তদী	অ_beg য়ুক্_mid ত_mid দী_end
অয়ুক্তসু	অ_beg য়ুক্_mid ত_mid সু_end
অয়ুক্তা	অ_beg য়ুক্_mid তা_end
অয়ুক্সি	অ_beg য়ুক্_mid সি_end
অয়ূক	অ_beg য়ূক_end
অয়ূক্	অ_beg য়ূক্_end
অয়েংবা	অ_beg য়েং_mid বা_end
অয়েংমন	অ_beg য়েং_mid মন_end
অয়েংমন্	অ_beg য়েং_mid মন্_end
অয়েক্	অ_beg য়েক্_end
অয়েত্পা	অ_beg য়েত্_mid পা_end
অয়েন্মন	অ_beg য়েন্_mid মন_end
অয়েন্মন্	অ_beg য়েন্_mid মন্_end
অয়ো	অ_beg য়ো_end
